#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:seqs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:seqs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:seqs" lower="0.0" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:seqs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:seqs">
#                    <trait id="dateTrait.t:seqs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                23_6.2291=6.2291,
#6_9.0418=9.0418,
#3_9.2292=9.2292,
#24_6.1965=6.1965,
#10_8.2776=8.2776,
#26_5.5046=5.5046,
#12_8.1208=8.1208,
#34_3.9207=3.9207,
#29_4.9566=4.9566,
#31_4.5777=4.5777,
#1_9.7657=9.7657,
#15_7.5962=7.5962,
#14_7.6988=7.6988,
#11_8.1625=8.1625,
#28_5.3543=5.3543,
#7_8.7836=8.7836,
#21_6.4781=6.4781,
#4_9.0679=9.0679,
#2_9.3451=9.3451,
#22_6.4532=6.4532,
#5_9.0676=9.0676,
#27_5.455=5.455,
#9_8.3274=8.3274,
#32_4.2478=4.2478,
#20_6.8164=6.8164,
#25_6.0094=6.0094,
#33_4.1652=4.1652,
#35_2.4264=2.4264,
#17_7.0269=7.0269,
#36_1.8347=1.8347,
#19_6.8397=6.8397,
#30_4.8928=4.8928,
#18_6.8896=6.8896,
#16_7.2114=7.2114,
#13_7.7576=7.7576,
#8_8.6063=8.6063                
#                                    <taxa id="TaxonSet.seqs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.seqs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:seqs" name="distribution">
#            <parameter id="clockRate.c:seqs" lower="0.0" name="x">0.1</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:seqs" name="distribution" x="@popSize.t:seqs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="RateACPrior.s:seqs" name="distribution">
#            <parameter id="rateAC.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:seqs" name="distribution">
#            <parameter id="rateAG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:seqs" name="distribution">
#            <parameter id="rateAT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:seqs" name="distribution">
#            <parameter id="rateCG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:seqs" name="distribution">
#            <parameter id="rateGT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@seqs" id="treeLikelihood.seqs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:seqs">
#            <siteModel id="SiteModel.s:seqs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:seqs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:seqs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:seqs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:seqs" rateAC="@rateAC.s:seqs" rateAG="@rateAG.s:seqs" rateAT="@rateAT.s:seqs" rateCG="@rateCG.s:seqs" rateGT="@rateGT.s:seqs" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:seqs" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:seqs" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:seqs" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:seqs" id="StrictClock.c:seqs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	popSize	CoalescentConstant	
20000	-9098.893016601547	-8926.03706271739	-172.85595388415703	-8926.03706271739	8.808152910235513	0.011215105151751718	0.27257350185992185	0.2460604254940475	0.24171564262284054	0.23965043002319014	0.8624454414806777	0.8689711513992125	0.8913541828782937	0.8160500203366029	0.8799179188285978	32.08511985530615	-154.24235257948536	
21000	-9101.469946337567	-8929.055334749424	-172.41461158814312	-8929.055334749424	8.808152910235513	0.011379893984593775	0.27257350185992185	0.24335277697139748	0.24171564262284054	0.24235807854584016	0.8624454414806777	0.8689711513992125	0.8913541828782937	0.8160500203366029	0.8799179188285978	28.79035051461644	-153.90936237079893	
22000	-9096.08882604901	-8922.960634510251	-173.12819153875816	-8922.960634510251	8.656612721104715	0.011593178627217123	0.2663297414501733	0.24335277697139748	0.24171564262284054	0.24860183895558868	0.8624454414806777	0.8689711513992125	0.8913541828782937	0.8160500203366029	0.8799179188285978	32.373239196623075	-154.5056504700462	
23000	-9106.329336331077	-8933.079424424353	-173.24991190672355	-8933.079424424353	8.678647398522523	0.011492403979764369	0.2663297414501733	0.24335277697139748	0.23666506504676912	0.2536524165316601	0.8624454414806777	0.8689711513992125	0.8913541828782937	0.853057589638399	0.8799179188285978	27.248512573187654	-154.75386944014448	
24000	-9107.158030671655	-8933.878609014275	-173.2794216573805	-8933.878609014275	8.683338827648896	0.011607236125314904	0.2663297414501733	0.24335277697139748	0.23666506504676912	0.2536524165316601	0.8624454414806777	0.8689711513992125	0.8913541828782937	0.853057589638399	0.8799179188285978	26.497005013815052	-154.8113464176922	
25000	-9102.831644042371	-8930.214115289004	-172.61752875336717	-8930.214115289004	8.557910677707518	0.011880945260651131	0.2663297414501733	0.24335277697139748	0.23666506504676912	0.2536524165316601	0.8624454414806777	0.8689711513992125	0.9012935167579835	0.853057589638399	0.8799179188285978	30.594849249374146	-153.99412496236027	
26000	-9105.600998086984	-8932.439790248	-173.1612078389852	-8932.439790248	8.557910677707518	0.011996578015142607	0.2663297414501733	0.24206632023339475	0.23666506504676912	0.25493887326966286	0.8624454414806777	0.8689711513992125	0.9012935167579835	0.853057589638399	0.8799179188285978	29.76010746275693	-154.5654668966464	
27000	-9105.189869471924	-8932.555220806691	-172.6346486652335	-8932.555220806691	8.610242294688675	0.011203492490189737	0.2663297414501733	0.24206632023339475	0.23666506504676912	0.25493887326966286	0.8624454414806777	0.8689711513992125	0.9012935167579835	0.853057589638399	0.8799179188285978	33.423565019136035	-153.92281535313106	
28000	-9100.533375878518	-8926.460552631392	-174.07282324712682	-8926.460552631392	8.591415938857008	0.01126322111829	0.25705114056583933	0.24102230910227437	0.2377090761778895	0.2642174741539968	0.8624454414806777	0.8689711513992125	0.9012935167579835	0.9438921708650312	0.8799179188285978	32.712221213611244	-155.27729329142363	
29000	-9102.464388311868	-8929.426872611033	-173.03751570083395	-8929.426872611033	8.696690013822915	0.011237433687279984	0.25705114056583933	0.23844134887371185	0.24029003640645202	0.2642174741539968	0.856393650256831	0.8689711513992125	0.9012935167579835	0.9438921708650312	0.8799179188285978	29.935730713305514	-154.33797655667618	
30000	-9104.323043325077	-8930.793599498977	-173.52944382610073	-8930.793599498977	8.923213131584872	0.010946207782866776	0.25705114056583933	0.23630329340050152	0.24242809187966236	0.2642174741539968	0.856393650256831	0.8689711513992125	0.9012935167579835	0.9438921708650312	0.8799179188285978	33.34295137144142	-154.72211105917765	
31000	-9112.60742756323	-8938.248611219087	-174.3588163441439	-8938.248611219087	9.010858292377147	0.011513850126713722	0.25705114056583933	0.23630329340050152	0.24242809187966236	0.2642174741539968	0.856393650256831	0.8689711513992125	0.9012935167579835	0.9438921708650312	0.8799179188285978	35.57177300903138	-155.4867775437167	
32000	-9106.482798983598	-8932.202187210032	-174.28061177356525	-8932.202187210032	9.130750759375378	0.010615610029110498	0.25705114056583933	0.24710696581104272	0.23162441946912116	0.2642174741539968	0.856393650256831	0.8689711513992125	0.9034848927124747	0.9438921708650312	0.8126507069691771	33.28240355075258	-155.55484804000173	
33000	-9104.809403489846	-8929.757092728021	-175.0523107618254	-8929.757092728021	9.0829358065539	0.010563263700934042	0.2596390168493008	0.24451908952758125	0.23162441946912116	0.2642174741539968	0.856393650256831	0.8689711513992125	0.9034848927124747	0.9438921708650312	0.8126507069691771	29.40061737100566	-156.45056019054692	
34000	-9108.704383293272	-8933.631513573737	-175.07286971953494	-8933.631513573737	9.177165369221473	0.011279227444174181	0.25714150000161606	0.25531146385350734	0.23162441946912116	0.25592261667575544	0.856393650256831	0.7840686691307832	0.8422524790004351	0.8460822490949366	0.8126507069691771	34.746640532305236	-156.59247011867367	
35000	-9112.215573671452	-8934.940902163878	-177.27467150757303	-8934.940902163878	8.839184166457812	0.010718759629847818	0.25714150000161606	0.25531146385350734	0.23162441946912116	0.25592261667575544	0.9722933122394827	0.7840686691307832	0.8951311065067789	0.8460822490949366	0.8126507069691771	22.71575030643749	-159.02399157923386	
36000	-9110.623857912466	-8934.846125302809	-175.77773260965617	-8934.846125302809	8.81931769519471	0.01117595096234248	0.25714150000161606	0.25531146385350734	0.23162441946912116	0.25592261667575544	0.9748319546468587	0.7840686691307832	0.8951311065067789	0.8460822490949366	0.8126507069691771	34.53388840259003	-157.10543903023972	
37000	-9112.074275416586	-8936.351154279926	-175.72312113665987	-8936.351154279926	9.051253773405696	0.010706204693708287	0.25023122720796437	0.25531146385350734	0.23853469226277282	0.25592261667575544	0.9748319546468587	0.7829668952146936	0.8951311065067789	0.8460822490949366	0.8126507069691771	36.11396142560476	-157.00748010630025	
